title,domestic_revenue,world_revenue,distributor,opening_revenue,opening_theaters,budget,MPAA,genres,release_days
Gemini Man,"$48,546,770","$173,469,516",Paramount Pictures,"$20,552,372","3,642","$138,000,000",PG-13,"Action,Drama,Sci-Fi,Thriller",123
Green Book,"$85,080,171","$329,704,599",Universal Pictures,"$320,429",25,"$23,000,000",PG-13,"Biography,Comedy,Drama,Music",452
What Men Want,"$54,611,903","$72,216,294",Paramount Pictures,"$18,232,087","2,912","$20,000,000",R,"Comedy,Fantasy,Romance",368
Pet Sematary,"$54,724,696","$113,118,226",Paramount Pictures,"$24,502,775","3,585","$21,000,000",R,"Horror,Mystery,Thriller",312
The Curse of la Llorona,"$54,733,739","$123,133,739",Warner Bros.,"$26,347,631","3,372","$9,000,000",R,"Horror,Mystery,Thriller",298
Dora and the Lost City of Gold,"$60,477,943","$120,729,461",Paramount Pictures,"$17,431,588","3,735","$49,000,000",PG,"Adventure,Family",186
Bumblebee,"$127,195,589","$467,989,645",Paramount Pictures,"$21,654,047","3,550","$135,000,000",PG-13,"Action,Adventure,Sci-Fi",417
Midway,"$56,846,802","$124,899,204",Lionsgate,"$17,897,419","3,242","$100,000,000",PG-13,"Action,Drama,History,War",95
A Beautiful Day in the Neighborhood,"$61,335,815","$65,797,820",Sony Pictures Releasing,"$13,251,238","3,235","$25,000,000",PG,"Biography,Drama",81
Escape Room,"$57,005,601","$155,712,077",Sony Pictures Releasing,"$18,238,172","2,717","$9,000,000",PG-13,"Action,Adventure,Horror,Mystery,Thriller",403
Abominable,"$60,716,390","$189,772,088",Universal Pictures,"$20,612,100","4,242","$75,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy",137
Terminator: Dark Fate,"$62,253,077","$261,119,292",Paramount Pictures,"$29,033,832","4,086","$185,000,000",R,"Action,Adventure,Sci-Fi",102
Mary Poppins Returns,"$171,958,438","$349,537,494",Walt Disney Studios Motion Pictures,"$23,523,121","4,090","$130,000,000",PG,"Comedy,Family,Fantasy,Musical",419
Scary Stories to Tell in the Dark,"$68,947,075","$105,647,580",Lionsgate,"$20,915,346","3,135","$25,000,000",PG-13,"Horror,Mystery,Thriller",186
Angel Has Fallen,"$69,030,436","$147,501,990",Lionsgate,"$21,380,987","3,286","$40,000,000",R,"Action,Thriller",172
Wish Upon,"$14,301,505","$23,468,586",Broad Green Pictures,"$5,467,084","2,250","$12,000,000",PG-13,"Drama,Fantasy,Horror,Mystery,Thriller",171
Detroit,"$16,790,139","$23,355,100",Annapurna Pictures,"$350,190",20,"$34,000,000",R,"Crime,Drama,History,Thriller",157
Flatliners,"$16,883,115","$45,158,254",Sony Pictures Releasing,"$6,574,326","2,552","$19,000,000",PG-13,"Drama,Horror,Mystery,Sci-Fi,Thriller",98
Moonlight,"$27,854,932","$65,336,603",A24,"$402,075",4,"$4,000,000",R,Drama,437
Downsizing,"$24,449,754","$55,003,890",Paramount Pictures,"$4,954,287","2,668","$68,000,000",R,"Drama,Sci-Fi",375
Mother!,"$17,800,004","$44,516,999",Paramount Pictures,"$7,534,673","2,368","$30,000,000",R,"Drama,Horror,Mystery",108
Only the Brave,"$18,343,983","$26,351,322",Sony Pictures Releasing,"$6,002,665","2,577","$38,000,000",PG-13,"Action,Biography,Drama",438
Assassin's Creed,"$54,647,948","$240,697,856",Twentieth Century Fox,"$10,278,225","2,970","$125,000,000",PG-13,"Action,Adventure,Sci-Fi",376
The Circle,"$20,497,844","$40,656,399",STX Entertainment,"$9,034,148","3,163","$18,000,000",PG-13,"Drama,Sci-Fi,Thriller",248
CHIPS,"$18,600,152","$26,800,152",Warner Bros.,"$7,722,802","2,464","$25,000,000",R,"Action,Comedy,Crime",283
Diary of a Wimpy Kid: The Long Haul,"$20,738,724","$40,140,972",Twentieth Century Fox,"$7,126,084","3,157","$22,000,000",PG,"Comedy,Family",227
Zombieland: Double Tap,"$73,123,082","$122,806,419",Sony Pictures Releasing,"$26,803,104","3,468","$42,000,000",R,"Action,Comedy,Horror",116
Yesterday,"$73,286,650","$153,707,793",Universal Pictures,"$17,010,050","2,603","$26,000,000",PG-13,"Comedy,Fantasy,Music,Musical,Romance",228
Manchester by the Sea,"$47,695,371","$78,988,148",Roadside Attractions,"$256,498",4,"$9,000,000",R,Drama,409
Men in Black: International,"$80,001,807","$253,890,701",Sony Pictures Releasing,"$30,035,838","4,224","$110,000,000",PG-13,"Action,Adventure,Comedy,Sci-Fi",242
Good Boys,"$83,140,306","$110,940,306",Universal Pictures,"$21,402,605","3,204","$20,000,000",R,"Adventure,Comedy",179
Alita: Battle Angel,"$85,710,210","$404,852,543",Twentieth Century Fox,"$28,525,613","3,790","$170,000,000",PG-13,"Action,Adventure,Sci-Fi,Thriller",362
Rocketman,"$96,368,160","$195,179,299",Paramount Pictures,"$25,725,722","3,610","$40,000,000",R,"Biography,Drama,Music,Musical",256
Hustlers,"$104,963,598","$157,563,598",STX Entertainment,"$33,181,361","3,250","$20,000,000",R,"Comedy,Crime,Drama,Thriller",151
Ford v Ferrari,"$116,413,744","$223,667,753",Twentieth Century Fox,"$31,474,958","3,528","$97,600,000",PG-13,"Action,Biography,Drama,Sport",88
The Upside,"$108,252,517","$125,852,517",STX Entertainment,"$20,355,000","3,080","$37,500,000",PG-13,"Comedy,Drama",396
Godzilla: King of the Monsters,"$110,500,138","$386,600,138",Warner Bros.,"$47,776,293","4,108","$170,000,000",PG-13,"Action,Adventure,Fantasy,Sci-Fi",256
Glass,"$111,048,468","$246,999,039",Universal Pictures,"$40,328,920","3,841","$20,000,000",PG-13,"Drama,Sci-Fi,Thriller",389
Dumbo,"$114,766,307","$353,284,621",Walt Disney Studios Motion Pictures,"$45,990,748","4,259","$170,000,000",PG,"Adventure,Family,Fantasy",319
Knives Out,"$159,063,469","$299,763,469",Lionsgate,"$26,769,548","3,461","$40,000,000",PG-13,"Comedy,Crime,Drama,Mystery,Thriller",76
My Little Pony: The Movie,"$21,885,107","$60,330,833",Lionsgate,"$8,885,899","2,528","$6,500,000",PG,"Adventure,Animation,Comedy,Drama,Family,Fantasy,Musical",91
Rough Night,"$22,105,643","$47,347,283",Sony Pictures Releasing,"$8,004,283","3,162","$20,000,000",R,"Comedy,Crime,Thriller",199
The Bye Bye Man,"$22,395,806","$29,874,280",STX Entertainment,"$13,501,349","2,220","$7,400,000",PG-13,"Drama,Fantasy,Horror,Mystery,Thriller",353
Gifted,"$24,801,212","$43,046,590",Fox Searchlight Pictures,"$446,380",56,"$7,000,000",PG-13,Drama,269
The House,"$25,584,504","$34,184,504",Warner Bros.,"$8,724,795","3,134","$40,000,000",R,"Comedy,Crime",185
Resident Evil: The Final Chapter,"$26,830,068","$312,242,626",Screen Gems,"$13,601,682","3,104","$40,000,000",R,"Action,Horror,Sci-Fi,Thriller",339
Home Again,"$27,020,284","$37,270,721",Open Road Films (II),"$8,567,881","2,940","$12,000,000",PG-13,"Comedy,Drama,Romance",119
Logan Lucky,"$27,780,977","$48,453,605",Bleecker Street Media,"$7,600,036","3,031","$29,000,000",PG-13,"Comedy,Crime,Drama",140
Rings,"$27,793,018","$83,080,890",Paramount Pictures,"$13,002,632","2,931","$25,000,000",PG-13,"Drama,Horror,Mystery,Romance",332
The Nut Job 2: Nutty by Nature,"$28,370,522","$68,743,485",Open Road Films (II),"$8,342,311","4,003","$40,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy",143
Why Him?,"$60,323,786","$118,102,725",Twentieth Century Fox,"$11,002,986","2,917","$38,000,000",R,Comedy,374
Life,"$30,234,022","$100,541,806",Sony Pictures Releasing,"$12,501,936","3,146","$58,000,000",R,"Horror,Sci-Fi,Thriller",283
The Mountain Between Us,"$30,348,555","$62,832,209",Twentieth Century Fox,"$10,551,336","3,088","$35,000,000",PG-13,"Action,Adventure,Drama,Romance,Thriller",91
Underworld: Blood Wars,"$30,353,973","$81,093,313",Screen Gems,"$13,688,751","3,070","$35,000,000",R,"Action,Drama,Fantasy,Horror,Sci-Fi,War",360
Kidnap,"$30,971,040","$34,814,102",Aviron Pictures,"$10,016,323","2,378","$21,000,000",R,"Crime,Drama,Thriller",154
Patriots Day,"$31,886,361","$52,185,751",Lionsgate,"$161,306",7,"$45,000,000",R,"Action,Crime,Drama,History,Thriller",376
Geostorm,"$33,700,160","$221,600,160",Warner Bros.,"$13,707,376","3,246","$120,000,000",PG-13,"Action,Sci-Fi,Thriller",438
Shazam!,"$140,371,656","$365,971,656",Warner Bros.,"$53,505,326","4,217","$100,000,000",PG-13,"Action,Adventure,Comedy,Fantasy",312
Fences,"$57,682,904","$64,414,761",Paramount Pictures,"$129,462",4,"$24,000,000",PG-13,Drama,381
Us,"$175,084,580","$255,184,580",Universal Pictures,"$71,117,625","3,741","$20,000,000",R,"Horror,Mystery,Thriller",326
Jumanji: The Next Level,"$298,827,461","$768,789,153",Sony Pictures Releasing,"$59,251,543","4,227","$125,000,000",PG-13,"Action,Adventure,Comedy,Fantasy",60
Once Upon a Time... in Hollywood,"$142,412,674","$374,251,247",Sony Pictures Releasing,"$41,082,018","3,659","$90,000,000",R,"Comedy,Drama",200
Pokémon Detective Pikachu,"$144,105,346","$433,005,346",Warner Bros.,"$54,365,242","4,202","$150,000,000",PG,"Action,Adventure,Comedy,Family,Mystery,Sci-Fi",277
The Secret Life of Pets 2,"$158,874,395","$430,051,293",Universal Pictures,"$46,652,680","4,561","$80,000,000",PG,"Adventure,Animation,Comedy,Family",249
How to Train Your Dragon: The Hidden World,"$160,799,505","$521,799,505",Universal Pictures,"$55,022,245","4,259","$129,000,000",PG,"Action,Adventure,Animation,Family,Fantasy",354
Joker,"$335,217,782","$1,072,417,782",Warner Bros.,"$96,202,337","4,374","$55,000,000",R,"Crime,Drama,Thriller",130
Aladdin,"$355,559,216","$1,050,693,953",Walt Disney Studios Motion Pictures,"$91,500,929","4,476","$183,000,000",PG,"Adventure,Family,Fantasy,Musical,Romance",263
Spider-Man: Far from Home,"$390,532,085","$1,131,927,996",Sony Pictures Releasing,"$92,579,212","4,634","$160,000,000",PG-13,"Action,Adventure,Sci-Fi",224
"Everything, Everything","$34,121,140","$61,621,140",Warner Bros.,"$11,727,390","2,801","$10,000,000",PG-13,"Drama,Romance",227
The Foreigner,"$34,393,507","$145,374,099",STX Entertainment,"$13,113,024","2,515","$35,000,000",R,"Action,Thriller",84
American Assassin,"$36,249,674","$67,234,188",Lionsgate,"$14,846,778","3,154","$33,000,000",R,"Action,Thriller",112
Jigsaw,"$38,052,832","$102,952,888",Lionsgate,"$16,640,452","2,941","$10,000,000",R,"Horror,Mystery,Thriller",70
King Arthur: Legend of the Sword,"$39,175,066","$148,675,066",Warner Bros.,"$15,371,270","3,702","$175,000,000",PG-13,"Action,Adventure,Drama,Fantasy",234
The Star,"$40,852,824","$62,812,974",Sony Pictures Releasing,"$9,812,674","2,837","$20,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy",410
The Lion King,"$543,638,043","$1,656,943,394",Walt Disney Studios Motion Pictures,"$191,770,759","4,725","$260,000,000",PG,"Adventure,Animation,Drama,Family,Musical",207
Wind River,"$33,800,859","$43,980,821",The Weinstein Company,"$161,558",4,"$11,000,000",R,"Crime,Drama,Mystery,Thriller",154
Valerian and the City of a Thousand Planets,"$41,189,488","$225,874,228",STX Entertainment,"$17,007,624","3,553","$177,200,000",PG-13,"Action,Adventure,Fantasy,Sci-Fi",164
Ghost in the Shell,"$40,563,557","$169,801,921",Paramount Pictures,"$18,676,033","3,440","$110,000,000",PG-13,"Action,Drama,Sci-Fi,Thriller",276
47 Meters Down,"$44,307,191","$62,187,529",Entertainment Studios Motion Pictures,"$11,205,561","2,270","$5,300,000",PG-13,"Adventure,Drama,Horror,Thriller",199
Passengers,"$100,014,699","$303,144,152",Sony Pictures Releasing,"$14,869,736","3,478","$110,000,000",PG-13,"Drama,Romance,Sci-Fi,Thriller",376
xXx: Return of Xander Cage,"$44,898,413","$346,118,277",Paramount Pictures,"$20,130,142","3,651","$85,000,000",PG-13,"Action,Adventure,Thriller",346
All Eyez on Me,"$44,922,302","$55,668,698",Lionsgate,"$26,435,354","2,471","$40,000,000",R,"Biography,Drama,Music",199
Going in Style,"$45,018,541","$84,918,541",Warner Bros.,"$11,932,330","3,061","$25,000,000",PG-13,"Comedy,Crime",269
Smurfs: The Lost Village,"$45,020,282","$197,183,546",Sony Pictures Releasing,"$13,210,449","3,610","$60,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy",269
The Great Wall,"$45,540,830","$334,933,831",Universal Pictures,"$18,469,620","3,326","$150,000,000",PG-13,"Action,Adventure,Fantasy,Thriller",318
Snatched,"$45,852,178","$60,845,711",Twentieth Century Fox,"$19,542,248","3,501","$42,000,000",R,"Action,Adventure,Comedy",234
Lion,"$51,738,905","$140,312,928",The Weinstein Company,"$123,360",4,"$12,000,000",PG-13,"Biography,Drama",402
Boo 2! A Madea Halloween,"$47,319,572","$48,333,932",Lionsgate,"$21,226,953","2,388","$25,000,000",PG-13,"Comedy,Drama,Horror",77
The Greatest Showman,"$174,340,174","$434,993,183",Twentieth Century Fox,"$8,805,843","3,006","$84,000,000",PG,"Biography,Drama,Musical",377
The Dark Tower,"$50,701,325","$113,231,078",Sony Pictures Releasing,"$19,153,698","3,451","$60,000,000",PG-13,"Action,Adventure,Fantasy,Horror,Sci-Fi,Western",150
American Made,"$51,342,000","$134,866,593",Universal Pictures,"$16,776,390","3,024","$50,000,000",R,"Action,Biography,Comedy,Crime",98
Atomic Blonde,"$51,687,870","$100,014,025",Focus Features,"$18,286,420","3,304","$30,000,000",R,"Action,Thriller",157
Avengers: Endgame,"$858,373,000","$2,797,800,564",Walt Disney Studios Motion Pictures,"$357,115,007","4,662","$356,000,000",PG-13,"Action,Adventure,Drama,Sci-Fi",291
Ferdinand,"$84,410,380","$296,069,199",Twentieth Century Fox,"$13,401,586","3,621","$111,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy",382
Happy Death Day,"$55,683,845","$125,479,266",Universal Pictures,"$26,039,025","3,149","$4,800,000",PG-13,"Horror,Mystery,Thriller",84
Baywatch,"$58,060,186","$177,856,751",Paramount Pictures,"$18,503,871","3,647","$69,000,000",R,"Action,Comedy,Crime",221
Pitch Perfect 3,"$104,897,530","$185,400,345",Universal Pictures,"$19,928,525","3,447","$45,000,000",PG-13,"Comedy,Music",375
A Bad Moms Christmas,"$72,110,659","$130,560,428",STX Entertainment,"$16,759,161","3,615","$28,000,000",R,Comedy,426
The Hitman's Bodyguard,"$75,468,583","$180,650,747",Lionsgate,"$21,384,504","3,377","$30,000,000",R,"Action,Comedy,Thriller",136
The Mummy,"$80,227,895","$409,231,607",Universal Pictures,"$31,688,375","4,035","$125,000,000",PG-13,"Action,Adventure,Fantasy,Thriller",206
Power Rangers,"$85,364,450","$142,337,240",Lionsgate,"$40,300,288","3,693","$100,000,000",PG-13,"Action,Adventure,Sci-Fi",283
A Dog's Purpose,"$64,508,620","$205,035,819",Universal Pictures,"$18,222,810","3,059","$22,000,000",PG,"Adventure,Comedy,Drama,Family,Fantasy",339
Captain Underpants: The First Epic Movie,"$73,921,000","$125,427,681",Twentieth Century Fox,"$23,851,539","3,434","$38,000,000",PG,"Action,Animation,Comedy,Family",217
Alien: Covenant,"$74,262,031","$240,891,763",Twentieth Century Fox,"$36,160,621","3,761","$97,000,000",R,"Horror,Sci-Fi,Thriller",227
The Emoji Movie,"$86,089,513","$217,776,646",Sony Pictures Releasing,"$24,531,923","4,075","$50,000,000",PG,"Adventure,Animation,Comedy,Family,Fantasy",161
Daddy's Home 2,"$104,029,443","$180,613,180",Paramount Pictures,"$29,651,193","3,575","$69,000,000",PG-13,Comedy,417
Blade Runner 2049,"$92,054,159","$259,239,658",Warner Bros.,"$32,753,122","4,058","$150,000,000",R,"Action,Drama,Mystery,Sci-Fi,Thriller",452
Annabelle: Creation,"$102,092,201","$306,515,884",Warner Bros.,"$35,006,404","3,502","$15,000,000",R,"Horror,Mystery,Thriller",143
Baby Driver,"$107,825,862","$226,945,087",TriStar Pictures,"$20,553,320","3,226","$34,000,000",R,"Action,Crime,Drama,Music,Thriller",187
Kingsman: The Golden Circle,"$100,234,838","$410,902,662",Twentieth Century Fox,"$39,023,010","4,003","$104,000,000",R,"Action,Adventure,Comedy",466
Murder on the Orient Express,"$102,826,543","$352,789,811",Twentieth Century Fox,"$28,681,472","3,341","$55,000,000",PG-13,"Crime,Drama,Mystery",417
Fifty Shades Darker,"$114,581,250","$381,545,846",Universal Pictures,"$46,607,250","3,710","$55,000,000",R,"Drama,Romance",325
Transformers: The Last Knight,"$130,168,683","$605,425,157",Paramount Pictures,"$44,680,073","4,069","$217,000,000",PG-13,"Action,Adventure,Sci-Fi",194
Split,"$138,291,365","$278,454,358",Universal Pictures,"$40,010,975","3,038","$9,000,000",PG-13,"Horror,Thriller",346
War for the Planet of the Apes,"$146,880,162","$490,719,763",Twentieth Century Fox,"$56,262,929","4,022","$150,000,000",PG-13,"Action,Adventure,Drama,Sci-Fi,Thriller",175
Hidden Figures,"$169,607,287","$235,956,898",Twentieth Century Fox,"$515,499",25,"$25,000,000",PG,"Biography,Drama,History",376
Kong: Skull Island,"$168,052,812","$566,652,812",Warner Bros.,"$61,025,472","3,846","$185,000,000",PG-13,"Action,Adventure,Fantasy,Sci-Fi",297
Jumanji: Welcome to the Jungle,"$404,515,480","$962,077,546",Sony Pictures Releasing,"$36,169,328","3,765","$90,000,000",PG-13,"Action,Adventure,Comedy,Fantasy",377
Pirates of the Caribbean: Dead Men Tell No Tales,"$172,558,876","$794,861,794",Walt Disney Studios Motion Pictures,"$62,983,253","4,276","$230,000,000",PG-13,"Action,Adventure,Fantasy",220
Get Out,"$176,040,665","$255,407,969",Universal Pictures,"$33,377,060","2,781","$4,500,000",R,"Horror,Mystery,Thriller",676
The Lego Batman Movie,"$175,750,384","$311,950,384",Warner Bros.,"$53,003,468","4,088","$80,000,000",PG,"Action,Animation,Comedy,Family",325
Dunkirk,"$188,045,546","$525,245,546",Warner Bros.,"$50,513,488","3,720","$100,000,000",PG-13,"Action,Drama,History,Thriller,War",168
